0,0000 0,00 0,00 0,00 0,00 0,00 0,00
4838,0000 77,74 -1,25 0,00 24,73 -684,28 492,90
4870,0000 77,74 -1,30 0,00 24,73 -684,28 492,90
4870,0000 77,74 -1,30 0,00 24,72 -684,28 492,90
4870,0000 77,74 -1,30 0,00 24,72 -684,28 492,90
4886,0000 77,74 -1,26 0,00 24,72 -684,28 492,90
4886,0000 77,74 -1,26 0,00 24,72 -684,28 492,90
4905,0000 77,78 -1,16 0,00 24,71 -684,28 492,90
4906,0000 77,78 -1,16 0,00 24,71 -684,29 492,90
4907,0000 77,78 -1,16 0,00 24,71 -684,29 492,89
4918,0000 77,79 -1,16 0,00 24,71 -684,29 492,89
4918,0000 77,79 -1,16 0,00 24,71 -684,29 492,89
4940,0000 77,42 -1,40 0,00 24,71 -684,29 492,89
4945,0000 77,42 -1,40 0,00 24,71 -684,29 492,89
4945,0000 77,42 -1,40 0,00 24,71 -684,30 492,89
4962,0000 77,74 -1,33 0,00 24,71 -684,30 492,89
4962,0000 77,74 -1,33 0,00 24,71 -684,30 492,90
4980,0000 77,59 -1,24 0,00 24,71 -684,30 492,90
4980,0000 77,59 -1,24 0,00 24,71 -684,30 492,90
4980,0000 77,59 -1,24 0,00 24,71 -684,30 492,90
5038,0000 77,37 -1,36 0,00 24,71 -684,30 492,90
5038,0000 77,37 -1,36 0,00 24,71 -684,31 492,90
5053,0000 77,38 -1,53 0,00 24,71 -684,31 492,90
5053,0000 77,38 -1,53 0,00 24,71 -684,31 492,90
5053,0000 77,38 -1,53 0,00 24,71 -684,31 492,90
5066,0000 77,53 -1,32 0,00 24,71 -684,31 492,90
5068,0000 77,53 -1,32 0,00 24,71 -684,31 492,90
5078,0000 77,53 -1,32 0,00 24,71 -684,31 492,90
5080,0000 77,53 -1,32 0,00 24,71 -684,31 492,90
5081,0000 77,53 -1,32 0,00 24,72 -684,31 492,90
5103,0000 77,71 -1,23 0,00 24,72 -684,32 492,90
5103,0000 77,71 -1,23 0,00 24,72 -684,32 492,90
5119,0000 77,71 -1,23 0,00 24,72 -684,32 492,90
5119,0000 77,71 -1,23 0,00 24,72 -684,32 492,91
5119,0000 77,71 -1,23 0,00 24,73 -684,33 492,91
5135,0000 77,58 -1,19 0,00 24,73 -684,33 492,91
5136,0000 77,58 -1,19 0,00 24,73 -684,33 492,91
5148,0000 77,52 -1,31 0,00 24,73 -684,33 492,91
5148,0000 77,52 -1,31 0,00 24,73 -684,34 492,92
5148,0000 77,52 -1,31 0,00 24,74 -684,34 492,92
5161,0000 77,54 -1,19 0,00 24,74 -684,34 492,92
5161,0000 77,54 -1,19 0,00 24,74 -684,35 492,92
5176,0000 77,54 -1,19 0,00 24,75 -684,35 492,92
5176,0000 77,54 -1,19 0,00 24,75 -684,35 492,93
5176,0000 77,54 -1,19 0,00 24,75 -684,35 492,93
5185,0000 77,75 -1,17 0,00 24,75 -684,36 492,93
5185,0000 77,75 -1,17 0,00 24,76 -684,36 492,93
5206,0000 77,49 -1,44 0,00 24,76 -684,36 492,93
5206,0000 77,49 -1,44 0,00 24,76 -684,36 492,94
5206,0000 77,49 -1,44 0,00 24,76 -684,36 492,94
5233,0000 77,38 -1,85 0,00 24,76 -684,37 492,94
5233,0000 77,38 -1,85 0,00 24,77 -684,37 492,94
5301,0000 77,19 -3,51 0,00 24,77 -684,37 492,94
5301,0000 77,19 -3,51 0,00 24,77 -684,37 492,94
5302,0000 77,19 -3,51 0,00 24,77 -684,37 492,94
5321,0000 77,33 -3,54 0,00 24,78 -684,37 492,95
5322,0000 77,33 -3,54 0,00 24,78 -684,37 492,95
5366,0000 77,96 -4,27 0,00 24,78 -684,37 492,95
5369,0000 77,96 -4,27 0,00 24,78 -684,37 492,95
5369,0000 77,96 -4,27 0,00 24,79 -684,37 492,95
5380,0000 77,96 -4,27 0,00 24,79 -684,37 492,95
