Time	RobotX	RobotY	RobotZ	DiscX	DiscY	DiscZ
2086.	84.01	-716.0	531.7	86.79	-707.7	530.7	1.000	
2091.	84.05	-715.9	531.7	86.79	-707.7	530.7	1.000	
2094.	84.10	-715.8	531.7	86.76	-707.6	530.6	1.000	
2098.	84.15	-715.6	531.6	86.76	-707.6	530.6	1.000	
2103.	84.20	-715.5	531.6	86.76	-707.6	530.6	1.000	
2108.	84.25	-715.3	531.6	86.76	-707.6	530.6	1.000	
2112.	84.31	-715.2	531.6	86.76	-707.6	530.6	1.000	
2115.	84.36	-715.0	531.6	86.76	-707.6	530.6	1.000	
2119.	84.41	-714.9	531.6	87.16	-708.1	531.0	1.000	
2123.	84.46	-714.7	531.6	87.16	-708.1	531.0	1.000	
2127.	84.51	-714.5	531.5	87.16	-708.1	531.0	1.000	
2131.	84.56	-714.4	531.5	87.16	-708.1	531.0	1.000	
2135.	84.61	-714.2	531.5	87.16	-708.1	531.0	1.000	
2140.	84.66	-714.1	531.5	87.16	-708.1	531.0	1.000	
2143.	84.72	-713.9	531.5	87.17	-707.2	530.7	1.000	
2148.	84.78	-713.7	531.4	87.17	-707.2	530.7	1.000	
2151.	84.83	-713.6	531.4	87.17	-707.2	530.7	1.000	
2155.	84.89	-713.4	531.4	87.17	-707.2	530.7	1.000	
2159.	84.94	-713.3	531.4	87.17	-707.2	530.7	1.000	
2163.	85.00	-713.1	531.3	87.17	-707.2	530.7	1.000	
2167.	85.05	-713.0	531.3	86.83	-707.7	530.7	1.000	
2171.	85.10	-712.8	531.3	86.83	-707.7	530.7	1.000	
2176.	85.16	-712.7	531.3	86.83	-707.7	530.7	1.000	
2180.	85.21	-712.5	531.3	86.83	-707.7	530.7	1.000	
2184.	85.26	-712.4	531.3	86.83	-707.7	530.7	1.000	
2188.	85.31	-712.3	531.3	86.83	-707.7	530.7	1.000	
2191.	85.37	-712.1	531.2	86.92	-707.6	530.7	1.000	
2195.	85.41	-712.0	531.2	86.92	-707.6	530.7	1.000	
2200.	85.46	-711.9	531.2	86.92	-707.6	530.7	1.000	
2204.	85.51	-711.7	531.2	86.92	-707.6	530.7	1.000	
2208.	85.55	-711.6	531.2	86.92	-707.6	530.7	1.000	
2212.	85.60	-711.5	531.2	86.92	-707.6	530.7	1.000	
2215.	85.65	-711.4	531.1	86.61	-707.4	530.5	1.000	
