Time	RobotX	RobotY	RobotZ	DiscX	DiscY	DiscZ
2292.00 	86.3900 	-708.450 	530.720 	87.0090 	-707.933 	530.862 	
2296.00 	86.4000 	-708.420 	530.720 	87.0090 	-707.933 	530.862 	
2300.00 	86.4100 	-708.390 	530.710 	87.0090 	-707.933 	530.862 	
2304.00 	86.4200 	-708.360 	530.700 	87.0090 	-707.933 	530.862 	
2308.00 	86.4300 	-708.340 	530.700 	86.6390 	-707.569 	530.572 	
2312.00 	86.4500 	-708.310 	530.690 	86.6390 	-707.569 	530.572 	
2316.00 	86.4600 	-708.290 	530.690 	86.6390 	-707.569 	530.572 	
2320.00 	86.4700 	-708.260 	530.690 	86.6390 	-707.569 	530.572 	
2324.00 	86.4800 	-708.240 	530.690 	86.6390 	-707.569 	530.572 	
2328.00 	86.4900 	-708.220 	530.690 	86.6390 	-707.569 	530.572 	
2332.00 	86.5000 	-708.200 	530.690 	86.6090 	-707.656 	530.582 	
2336.00 	86.5100 	-708.180 	530.690 	86.6090 	-707.656 	530.582 	
2340.00 	86.5200 	-708.160 	530.690 	86.6090 	-707.656 	530.582 	
2344.00 	86.5300 	-708.140 	530.690 	86.6090 	-707.656 	530.582 	
2348.00 	86.5400 	-708.120 	530.690 	86.6090 	-707.656 	530.582 	
2352.00 	86.5500 	-708.110 	530.700 	86.6090 	-707.656 	530.582 	
2356.00 	86.5500 	-708.090 	530.700 	86.8240 	-706.903 	530.472 	
2360.00 	86.5600 	-708.070 	530.700 	86.8240 	-706.903 	530.472 	
2364.00 	86.5700 	-708.060 	530.690 	86.8240 	-706.903 	530.472 	
2368.00 	86.5800 	-708.050 	530.690 	86.8240 	-706.903 	530.472 	
2373.00 	86.5800 	-708.030 	530.690 	86.8240 	-706.903 	530.472 	
2376.00 	86.5900 	-708.020 	530.690 	86.8240 	-706.903 	530.472 	
2380.00 	86.6000 	-708.000 	530.690 	86.5740 	-707.543 	530.532 	
2384.00 	86.6000 	-707.990 	530.690 	86.5740 	-707.543 	530.532 	
2389.00 	86.6100 	-707.980 	530.690 	86.5740 	-707.543 	530.532 	
2392.00 	86.6100 	-707.960 	530.690 	86.5740 	-707.543 	530.532 	
2397.00 	86.6200 	-707.950 	530.690 	86.5740 	-707.543 	530.532 	
2401.00 	86.6300 	-707.930 	530.680 	86.5740 	-707.543 	530.532 	
2404.00 	86.6300 	-707.920 	530.680 	86.7465 	-707.608 	530.637 	
2409.00 	86.6400 	-707.900 	530.680 	86.7465 	-707.608 	530.637 	
2413.00 	86.6500 	-707.890 	530.680 	86.7465 	-707.608 	530.637 	
2417.00 	86.6500 	-707.870 	530.670 	86.7465 	-707.608 	530.637 	
2421.00 	86.6500 	-707.860 	530.670 	86.7465 	-707.608 	530.637 	
2425.00 	86.6600 	-707.840 	530.660 	86.7465 	-707.608 	530.637 	
2430.00 	86.6600 	-707.830 	530.660 	86.5190 	-707.569 	530.512 	
2433.00 	86.6700 	-707.810 	530.660 	86.5190 	-707.569 	530.512 	
2437.00 	86.6700 	-707.800 	530.650 	86.5190 	-707.569 	530.512 	
2441.00 	86.6700 	-707.790 	530.650 	86.5190 	-707.569 	530.512 	
2445.00 	86.6800 	-707.770 	530.650 	86.5190 	-707.569 	530.512 	
2449.00 	86.6800 	-707.760 	530.640 	86.4065 	-707.470 	530.427 	
2454.00 	86.6800 	-707.750 	530.640 	86.4065 	-707.470 	530.427 	
2457.00 	86.6800 	-707.740 	530.640 	86.4065 	-707.470 	530.427 	
2461.00 	86.6800 	-707.730 	530.640 	86.4065 	-707.470 	530.427 	
2465.00 	86.6800 	-707.720 	530.630 	86.4065 	-707.470 	530.427 	
